Ciudad,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry-Courcouronnes,Nanterre,Bobigny,Créteil,Cergy
Albi,11,11,11,11,11,11,11,11,31,11,10,11,11,46,11,46,82,11,11,11,11,11,46,11,46,11,11,11,11,46,11,31,31,82,11,46,11,46,11,11,31,11,11,11,46,11,46,82,11,46,46,11,11,46,11,11,46,11,11,11,11,46,11,11,31,31,10,11,11,11,11,11,46,11,11,11,11,11,11,46,11,-1,82,11,11,46,46,11,11,11,11,11,11,11,11,11
Montauban,11,11,11,11,11,11,11,11,31,11,31,11,11,46,11,46,47,11,11,11,11,11,46,46,46,11,11,11,11,46,11,31,32,47,11,46,46,46,11,11,47,46,11,11,46,11,46,47,11,46,46,11,11,46,11,11,46,11,11,11,11,46,11,11,32,32,31,11,11,11,11,11,46,11,11,11,46,11,11,46,46,81,-1,11,11,47,46,46,11,11,11,11,11,11,11,11
Toulon,12,12,12,3,3,5,12,12,12,12,12,12,12,12,12,12,12,12,12,5,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,3,12,12,12,12,12,12,12,12,-1,12,12,12,12,12,12,12,12,12,12,12,12
Avignon,26,6,6,3,4,12,6,6,30,6,30,30,12,6,30,30,30,6,30,12,12,26,30,30,30,26,26,6,6,30,30,30,30,30,30,30,6,6,26,26,30,6,26,6,30,6,30,30,30,30,30,6,26,30,26,6,30,26,6,6,6,6,6,6,30,30,30,26,26,26,26,26,6,26,26,6,6,6,6,30,6,30,30,12,-1,30,30,30,26,6,26,6,6,6,6,6
La Roche-sur-Yon,79,49,79,79,79,79,79,49,16,49,16,79,79,44,79,79,16,49,79,79,79,49,44,79,79,79,79,49,49,44,79,16,16,16,79,44,79,49,79,79,16,49,79,79,44,49,79,16,79,49,44,49,49,49,49,49,44,49,49,44,44,49,44,79,16,16,16,49,79,79,79,79,49,79,79,49,44,49,49,79,44,79,16,79,79,-1,79,79,79,49,79,49,49,49,49,49
Poitiers,23,37,23,87,23,87,23,37,15,36,15,87,87,37,87,15,79,36,87,87,87,36,49,23,15,23,23,37,37,49,87,15,15,15,87,49,36,37,23,23,15,37,23,23,79,37,15,15,87,49,49,37,36,49,36,36,79,36,36,37,37,37,37,23,15,15,87,36,23,23,23,23,37,23,23,37,37,37,37,79,37,15,15,87,87,79,-1,87,23,36,23,37,37,37,37,37
Limoges,23,23,23,18,18,18,18,23,24,23,18,18,18,86,18,15,15,23,18,18,18,23,86,23,24,23,18,23,23,15,18,24,24,15,18,86,23,86,23,23,15,23,18,18,15,23,24,24,18,86,86,23,23,86,23,23,15,23,23,23,23,86,23,18,15,24,18,23,23,23,23,23,86,23,23,23,86,23,23,15,86,18,24,18,18,15,86,-1,23,23,23,23,23,23,23,23
Épinal,70,54,70,70,70,70,70,57,70,54,70,70,70,54,70,70,70,70,70,70,70,70,54,70,70,70,70,54,54,54,70,70,70,70,70,54,70,70,70,70,70,54,70,70,70,54,70,70,70,70,54,54,52,54,54,54,54,57,70,57,54,54,54,70,70,70,70,67,68,70,70,70,54,70,70,54,54,54,54,70,54,70,70,70,70,70,70,70,-1,70,90,54,54,54,54,54
Auxerre,39,77,58,71,71,71,58,9,58,9,58,58,58,77,58,58,17,17,58,71,71,21,17,58,58,21,58,77,45,17,58,58,58,58,58,17,17,17,71,39,58,45,58,58,17,45,58,58,58,17,77,9,21,45,9,9,17,9,58,77,77,77,77,58,58,58,58,9,21,71,21,71,45,71,39,77,77,77,77,17,77,58,58,58,58,17,17,58,21,-1,21,77,77,77,77,77
Belfort,70,88,70,70,70,70,70,88,70,88,70,70,70,88,70,70,70,70,70,70,70,70,88,70,70,70,70,88,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,88,88,70,70,88,88,70,88,70,88,88,88,88,70,70,70,70,68,68,70,70,70,70,70,70,88,88,70,70,70,88,70,70,70,70,70,70,70,88,70,-1,70,88,88,88,88
Évry-Courcouronnes,77,77,77,77,77,77,77,77,77,77,77,77,77,75,77,45,45,45,77,77,77,77,78,45,45,77,77,75,78,78,77,77,45,45,77,78,45,45,77,77,45,45,77,77,78,45,77,45,77,78,75,77,77,78,77,77,78,77,77,77,75,75,77,77,45,45,77,77,77,77,77,77,78,77,77,75,75,77,78,45,75,77,77,77,77,78,45,45,77,77,77,-1,78,94,94,75
Nanterre,75,93,75,75,75,75,75,93,75,75,75,75,75,95,75,78,78,78,75,75,75,75,95,78,78,75,75,95,78,95,75,75,75,78,75,95,78,78,75,75,78,78,75,75,78,78,75,78,75,78,95,93,93,95,93,93,95,93,75,93,95,95,95,75,78,75,75,93,93,75,93,75,78,75,75,75,95,75,78,78,95,75,75,75,75,78,78,78,93,75,93,78,-1,93,93,95
Bobigny,94,1,94,94,94,94,94,1,94,94,94,94,94,92,94,94,94,94,94,94,94,94,92,94,94,94,94,92,92,92,94,94,94,94,94,92,94,94,94,94,94,94,94,94,92,94,94,94,94,92,92,51,51,92,51,51,92,51,94,1,92,92,1,94,94,94,94,51,51,94,51,94,92,94,94,75,92,94,92,94,92,94,94,94,94,92,94,94,51,94,51,94,92,-1,94,92
Créteil,77,93,77,77,77,77,77,93,77,77,77,77,77,75,77,91,91,91,77,77,77,77,75,91,91,77,77,75,78,78,77,77,77,91,77,78,91,91,77,77,91,91,77,77,78,91,77,91,77,78,75,51,51,78,51,51,78,51,77,93,75,75,93,77,91,77,77,51,51,77,77,77,78,77,77,75,75,77,78,91,75,77,77,77,77,78,91,91,51,77,51,91,93,93,-1,75
Cergy,75,1,75,75,75,75,75,1,75,75,75,75,75,27,75,27,27,75,75,75,75,75,27,75,27,75,75,27,78,27,75,75,75,27,75,27,75,27,75,75,27,75,75,75,27,75,75,27,75,27,27,1,1,27,1,1,27,1,75,80,60,27,80,75,27,75,75,1,1,75,1,75,27,75,75,75,27,75,78,27,80,75,75,75,75,27,27,75,1,75,1,75,92,92,75,-1
