indice_inicio,indice_destino,ciudad_inicio,ciudad_destino,peso,distancia,tiempo(min),peajes(euros),gasolina(euros),costo_vendedor(euros)
35,56,Rennes,Vannes,39.128333,112.0,85.0,0.0,22.1,17.028333
36,37,Châteauroux,Tours,51.395333,124.0,106.0,2.6,27.56,21.235333
36,41,Châteauroux,Blois,44.192,101.0,96.0,0.0,24.96,19.232
36,86,Châteauroux,Poitiers,57.081333,128.0,124.0,0.0,32.24,24.841333
37,41,Tours,Blois,29.456333,66.0,49.0,6.9,12.74,9.816333
37,49,Tours,Angers,48.145667,128.0,77.0,12.7,20.02,15.425667
37,72,Tours,Le Mans,48.145667,128.0,77.0,12.7,20.02,15.425667
37,86,Tours,Poitiers,48.145667,128.0,77.0,12.7,20.02,15.425667
38,69,Grenoble,Lyon,219.087,577.0,381.0,43.7,99.06,76.327
38,73,Grenoble,Chambéry,25.573667,57.0,41.0,6.7,10.66,8.213667
39,71,Lons-le-Saunier,Mâcon,38.742333,98.0,67.0,7.9,17.42,13.422333
39,89,Lons-le-Saunier,Auxerre,90.529333,251.0,148.0,22.4,38.48,29.649333
40,47,Mont-de-Marsan,Agen,48.173,122.0,99.0,2.6,25.74,19.833
40,64,Mont-de-Marsan,Pau,51.506,106.0,78.0,15.6,20.28,15.626
41,45,Blois,Orléans,28.696,61.0,48.0,6.6,12.48,9.616
42,43,Saint-Étienne,Le Puy-en-Velay,27.62,74.0,60.0,0.0,15.6,12.02
42,63,Saint-Étienne,Clermont-Ferrand,56.373,146.0,99.0,10.8,25.74,19.833
42,69,Saint-Étienne,Lyon,29.001,64.0,63.0,0.0,16.38,12.621
43,48,Le Puy-en-Velay,Mende,40.509333,89.0,88.0,0.0,22.88,17.629333
43,63,Le Puy-en-Velay,Clermont-Ferrand,51.557333,128.0,112.0,0.0,29.12,22.437333
44,49,Nantes,Angers,38.02,90.0,60.0,10.4,15.6,12.02
44,56,Nantes,Vannes,41.43,112.0,90.0,0.0,23.4,18.03
44,79,Nantes,Niort,57.352333,144.0,97.0,12.7,25.22,19.432333
44,85,Nantes,La Roche-sur-Yon,29.359667,70.0,59.0,2.2,15.34,11.819667
45,89,Orléans,Auxerre,79.755667,174.0,107.0,30.5,27.82,21.435667
45,91,Orléans,Évry-Courcouronnes,51.207667,122.0,83.0,13.0,21.58,16.627667
46,47,Cahors,Agen,40.509333,86.0,88.0,0.0,22.88,17.629333
46,81,Cahors,Albi,51.814333,133.0,103.0,4.4,26.78,20.634333
46,82,Cahors,Montauban,27.877,60.0,51.0,4.4,13.26,10.217
47,82,Agen,Montauban,35.180333,86.0,61.0,7.1,15.86,12.220333
49,53,Angers,Laval,31.302667,81.0,68.0,0.0,17.68,13.622667
49,72,Angers,Le Mans,40.582,96.0,66.0,10.2,17.16,13.222
49,79,Angers,Niort,71.560667,194.0,122.0,15.4,31.72,24.440667
49,85,Angers,La Roche-sur-Yon,50.607667,132.0,83.0,12.4,21.58,16.627667
49,86,Angers,Poitiers,59.383,139.0,129.0,0.0,33.54,25.843
50,53,Saint-Lô,Laval,56.160667,171.0,122.0,0.0,31.72,24.440667
50,61,Saint-Lô,Alençon,64.355667,175.0,107.0,15.1,27.82,21.435667
51,55,Châlons-en-Champagne,Bar-le-Duc,27.62,70.0,60.0,0.0,15.6,12.02
51,77,Châlons-en-Champagne,Melun,76.341667,220.0,125.0,18.8,32.5,25.041667
51,93,Châlons-en-Champagne,Bobigny,72.660667,184.0,122.0,16.5,31.72,24.440667
