indice_inicio,indice_destino,ciudad_inicio,ciudad_destino,distancia,tiempo(min),peajes(euros),gasolina(euros),
32,40,Auch,Mont-de-Marsan,104,99,0,25.74,
32,47,Auch,Agen,74,79,0,20.54,
32,65,Auch,Tarbes,73,77,0,20.02,
32,82,Auch,Montauban,86,85,0,22.1,
33,40,Bordeaux,Mont-de-Marsan,134,94,17.5,24.44,
33,47,Bordeaux,Agen,140,90,12,23.4,
34,48,Montpellier,Mende,200,144,13.8,37.44,
34,66,Montpellier,Perpignan,161,100,17.4,26,
35,44,Rennes,Nantes,110,88,0,22.88,
35,49,Rennes,Angers,132,98,0,25.48,
35,50,Rennes,Saint-Lô,152,94,0,24.44,
35,53,Rennes,Laval,82,66,2.2,17.16,
35,56,Rennes,Vannes,112,85,0,22.1,
36,37,Châteauroux,Tours,124,106,2.6,27.56,
36,41,Châteauroux,Blois,101,96,0,24.96,
36,86,Châteauroux,Poitiers,128,124,0,32.24,
37,41,Tours,Blois,66,49,6.9,12.74,
37,49,Tours,Angers,128,77,12.7,20.02,
37,72,Tours,Le Mans,128,77,12.7,20.02,
37,86,Tours,Poitiers,128,77,12.7,20.02,
38,69,Grenoble,Lyon,577,381,43.7,99.06,
38,73,Grenoble,Chambéry,57,41,6.7,10.66,
39,71,Lons-le-Saunier,Mâcon,98,67,7.9,17.42,
39,89,Lons-le-Saunier,Auxerre,251,148,22.4,38.48,
40,47,Mont-de-Marsan,Agen,122,99,2.6,25.74,
40,64,Mont-de-Marsan,Pau,106,78,15.6,20.28,
41,45,Blois,Orléans,61,48,6.6,12.48,
42,43,Saint-Étienne,Le Puy-en-Velay,74,60,0,15.6,
42,63,Saint-Étienne,Clermont-Ferrand,146,99,10.8,25.74,
42,69,Saint-Étienne,Lyon,64,63,0,16.38,
43,48,Le Puy-en-Velay,Mende,89,88,0,22.88,
43,63,Le Puy-en-Velay,Clermont-Ferrand,128,112,0,29.12,
44,49,Nantes,Angers,90,60,10.4,15.6,
44,56,Nantes,Vannes,112,90,0,23.4,
44,79,Nantes,Niort,144,97,12.7,25.22,
44,85,Nantes,La Roche-sur-Yon,70,59,2.2,15.34,
45,89,Orléans,Auxerre,174,107,30.5,27.82,
45,91,Orléans,Évry-Courcouronnes,122,83,13,21.58,
46,47,Cahors,Agen,86,88,0,22.88,
46,81,Cahors,Albi,133,103,4.4,26.78,
46,82,Cahors,Montauban,60,51,4.4,13.26,
47,82,Agen,Montauban,86,61,7.1,15.86,
49,53,Angers,Laval,81,68,0,17.68,
49,72,Angers,Le Mans,96,66,10.2,17.16,
49,79,Angers,Niort,194,122,15.4,31.72,
49,85,Angers,La Roche-sur-Yon,132,83,12.4,21.58,
49,86,Angers,Poitiers,139,129,0,33.54,
50,53,Saint-Lô,Laval,171,122,0,31.72,
50,61,Saint-Lô,Alençon,175,107,15.1,27.82,
51,55,Châlons-en-Champagne,Bar-le-Duc,70,60,0,15.6,
51,77,Châlons-en-Champagne,Melun,220,125,18.8,32.5,
51,93,Châlons-en-Champagne,Bobigny,184,122,16.5,31.72,
51,94,Châlons-en-Champagne,Créteil,182,116,16.5,30.16,
52,55,Chaumont,Bar-le-Duc,96,81,0,21.06,
52,70,Chaumont,Vesoul,111,97,0,25.22,
52,88,Chaumont,Épinal,126,101,3.3,26.26,
53,61,Laval,Alençon,127,81,12.4,21.06,
53,72,Laval,Le Mans,86,66,8.9,17.16,
54,55,Nancy,Bar-le-Duc,84,73,0,18.98,
54,57,Nancy,Metz,56,47,0,12.22,
54,67,Nancy,Strasbourg,157,117,4,30.42,
54,88,Nancy,Épinal,74,63,0,16.38,
55,57,Bar-le-Duc,Metz,125,91,6.8,23.66,
57,67,Metz,Strasbourg,163,99,15.2,25.74,
57,88,Metz,Épinal,134,93,0,24.18,
58,89,Nevers,Auxerre,110,108,0,28.08,
59,62,Lille,Arras,54,48,0,12.48,
60,76,Beauvais,Rouen,81,92,0,23.92,
60,80,Beauvais,Amiens,62,51,4.9,13.26,
60,95,Beauvais,Cergy,68,53,4.3,13.78,
